step,rank,nodes,elements,error,error_prev,error_global_surface_curvature,error_global_surface_curvature_prev,error_improvement_abs,error_improvement_pct,error_normalized,error_total_reduction_pct,elements_prev,elements_delta,element_growth_factor,error_improvement_per_element,acceptance_score,gauss_nodes,mean_nodes,gauss_ratio,mean_ratio,error_floor,min_error_drop_abs,min_error_drop_per_element,retry_attempt,adaptation_relaxation,retry_enabled,local_budget_mode,target_element_growth,target_elements_step,actual_elements_step,target_growth_step,actual_growth_step,actual_element_growth,step_efficiency,local_progress_coverage,improved_top_patches,top_patch_candidate_count,generation_control_mode,consistency_regularization_active,patch_budget_dispersion,patch_h_dispersion,actual_patch_element_dispersion,curve_balance_dispersion,patch_consistency_penalty,budget_driver_mode,adaptation_max_delta,adaptive_retry_count,adaptive_retry_shrink,max_retry_element_growth_factor,max_retry_element_growth_abs,element_budget_abs,element_budget_growth_factor,element_budget_soft_limit,candidate_elements_before_budget_retry,budget_retry_count,budget_limited,budget_final_status,step_mode,budget_pressure,eligible_patch_count,eligible_patch_elements_sum,eligible_patch_mean_factor,eligible_patch_mean_h_scale,step_purpose,underresolved_transition_fraction_real,transition_imbalance_max_real,stop_reason,quality_min,quality_p05,quality_p50,quality_p95,quality_max,quality_mean,quality_std,poor_ratio_lt_0_30,q_ge_0_60,excellent_ratio_ge_0_80,angle_quality_mean_3d,edge_ratio_mean_3d,min_angle_mean_3d,min_angle_p05_3d,max_angle_mean_3d,max_angle_p95_3d,quality_uv_min,quality_uv_p05,quality_uv_p50,quality_uv_p95,quality_uv_max,quality_uv_mean,quality_uv_std,quality_uv_poor_ratio_lt_0_30,quality_uv_q_ge_0_60,quality_uv_excellent_ratio_ge_0_80,area_min,area_mean,area_max,area_std,unique_edges,boundary_edges,nonmanifold_edges,laplacian_iterations,laplacian_factor
0,-1,20,16,0.285481,0.285481,0.285481,0.285481,0,0,1,0,16,0,1,0,0,20,0,1,0,0,0,0,0,1,1,0,16,16,1,1,1,0,0,0,0,initial,0,0,0,0,0,0,initial,0.3,0.05,1,0.72,0,0,0,0,0,0,0,0,not_applied,initial,0,0,0,0,0,initial,0,0,max_steps_reached,0.0753097,0.0753097,0.699411,0.867844,0.867844,0.585494,0.334918,25,50,50,0.490765,0.591881,29.4459,11.2035,103.882,157.511,0.828427,0.828427,0.828427,0.828427,0.828427,0.828427,0,0,100,100,4.97027,8.13162,11.8808,2.54165,32,16,0,7,0.5
1,-1,668,1168,0.0620566,0.285481,0.0620566,0.285481,0.223424,78.2624,0.217376,78.2624,16,1152,73,0.000193945,-7.68811,664,4,0.994012,0.00598802,0,0,0,0,1,1,1.02,16.32,1168,1.02,73,73,0.000193945,0,0,0,repair,1,0,0,0,0,0,budget_driven,0.3,0.05,1,0.72,0,0,0,0,0,1168,0,0,not_applied,repair,0,0,1168,0,0,interior_quality_recovery,0,0.0482877,max_steps_reached,0.192117,0.378622,0.695406,0.944499,0.994818,0.674721,0.182816,1.36986,65.411,28.4247,0.504755,0.519162,30.2853,17.2864,94.1144,123.486,0.768938,0.830468,0.903528,0.982553,0.994704,0.907353,0.0460136,0,100,97.6027,0.0385196,0.132346,0.625953,0.0787624,1805,124,9,7,0.5
2,-1,1144,2008,0.0775286,0.0620566,0.0775286,0.0620566,-0.015472,-24.9321,0.271572,72.8428,1168,840,1,0,0,0,0,0,0,0,0,0,0,1,1,1.02,1191.36,2008,1.02,1,1,-1.84191e-05,0,0,4,repair,0,0,0,0,0,0,budget_driven,0.3,0.05,1,0.72,0,0,0,0,0,2008,1,1,rejected,repair,0,0,2008,0,0,interior_quality_recovery,0,0.00169323,global_error_increased,0.180615,0.376382,0.686696,0.962856,0.99858,0.672075,0.190196,1.99203,62.1514,29.8805,0.505603,0.519306,30.3362,16.4991,93.5694,123.079,0.731426,0.811205,0.884734,0.984484,0.999994,0.890234,0.0532258,0,100,97.8088,0.0104525,0.077158,0.579787,0.0716147,3100,208,16,7,0.5
3,-1,1248,2196,0.0746173,0.0620566,0.0746173,0.0620566,-0.0125606,-20.2406,0.261374,73.8626,2196,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1.02,1191.36,2196,1.02,1,1,-1.22185e-05,0,0,4,repair,0,0,0,0,0,0,budget_driven,0.3,0.05,1,0.72,0,0,0,0,0,2196,1,1,rejected,repair,0,0,2196,0,0,interior_quality_recovery,0,0,global_error_increased,0.181799,0.366578,0.673474,0.960869,0.999425,0.66668,0.187684,1.63934,60.6557,28.7796,0.499362,0.513946,29.9617,16.6307,93.9088,124.461,0.616159,0.806682,0.883122,0.981438,0.999364,0.886062,0.0568557,0,100,96.357,0.0101864,0.0705509,0.40596,0.0585808,3386,220,18,7,0.5
4,-1,3748,7184,0.0104806,0.0620566,0.0104806,0.0620566,0.051576,83.1112,0.036712,96.3288,7184,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1.02,1191.36,7184,1.02,1,1,8.57314e-06,1,4,4,refine,1,0,0,0,0,0,budget_driven,0.3,0.05,1,0.72,0,0,0,0,0,7184,1,1,rejected,refine,0,4,7184,1.03,1.232,interior_quality_recovery,1,0.29222,hybrid_criterion_rejected,0.130023,0.378897,0.631926,0.860161,0.999272,0.627619,0.146459,2.39421,58.6303,11.2472,0.431842,0.4475,25.9105,16.0204,93.0788,121.331,0.326512,0.809449,0.869827,0.967178,0.999987,0.874383,0.0571501,0,99.5546,95.9354,0.00272622,0.0214556,0.190087,0.0145983,10874,232,18,7,0.5
5,-1,4196,8080,0.00747071,0.0620566,0.00747071,0.0620566,0.0545859,87.9615,0.0261689,97.3831,8080,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1.02,1191.36,8080,1.02,1,1,7.89727e-06,1,4,4,refine,1,0,0,0,0,0,budget_driven,0.3,0.05,1,0.72,0,0,0,0,0,8080,1,1,rejected,refine,0,4,8080,1.03,1.232,interior_quality_recovery,1,0.358597,hybrid_criterion_rejected,0.173618,0.427433,0.590002,0.841862,0.99899,0.607146,0.125009,0.49505,46.9802,7.92079,0.394153,0.404196,23.6492,15.1105,90.8202,108.826,0.326511,0.816449,0.834545,0.924737,0.999796,0.842619,0.0444703,0,99.604,96.4851,0.00272552,0.0190733,0.18753,0.0145254,12218,232,18,7,0.5
0,-1,20,16,0.285481,0.285481,0.285481,0.285481,0,0,1,0,16,0,1,0,0,20,0,1,0,0,0,0,0,1,1,0,16,16,1,1,1,0,0,0,0,initial,0,0,0,0,0,0,initial,0.3,0.05,1,0.72,0,0,0,0,0,0,0,0,not_applied,initial,0,0,0,0,0,initial,0,0,max_steps_reached,0.0753097,0.0753097,0.699411,0.867844,0.867844,0.585494,0.334918,25,50,50,0.490765,0.591881,29.4459,11.2035,103.882,157.511,0.828427,0.828427,0.828427,0.828427,0.828427,0.828427,0,0,100,100,4.97027,8.13162,11.8808,2.54165,32,16,0,7,0.5
1,-1,668,1168,0.0620617,0.285481,0.0620617,0.285481,0.223419,78.2607,0.217393,78.2607,16,1152,73,0.00019394,-7.68813,664,4,0.994012,0.00598802,0,0,0,0,1,1,1.02,16.32,1168,1.02,73,73,0.00019394,0,0,0,repair,1,0,0,0,0,0,budget_driven,0.3,0.05,1,0.72,0,0,0,0,0,1168,0,0,not_applied,repair,0,0,1168,0,0,interior_quality_recovery,0,0.0482877,max_steps_reached,0.192117,0.378622,0.695406,0.944499,0.994818,0.674721,0.182816,1.36986,65.411,28.4247,0.504755,0.519162,30.2853,17.2864,94.1144,123.486,0.768938,0.830468,0.903528,0.982553,0.994704,0.907353,0.0460136,0,100,97.6027,0.0385196,0.132346,0.625953,0.0787624,1805,124,9,7,0.5
2,-1,1144,2008,0.077528,0.0620617,0.077528,0.0620617,-0.0154663,-24.9208,0.27157,72.843,1168,840,1,0,0,0,0,0,0,0,0,0,0,1,1,1.02,1191.36,2008,1.02,1,1,-1.84122e-05,0,0,4,repair,0,0,0,0,0,0,budget_driven,0.3,0.05,1,0.72,0,0,0,0,0,2008,1,1,rejected,repair,0,0,2008,0,0,interior_quality_recovery,0,0.00169323,global_error_increased,0.180615,0.376382,0.686696,0.962856,0.99858,0.672075,0.190196,1.99203,62.1514,29.8805,0.505603,0.519306,30.3362,16.4991,93.5694,123.079,0.731426,0.811205,0.884734,0.984484,0.999994,0.890234,0.0532258,0,100,97.8088,0.0104525,0.077158,0.579787,0.0716147,3100,208,16,7,0.5
3,-1,1248,2196,0.0746173,0.0620617,0.0746173,0.0620617,-0.0125555,-20.2307,0.261374,73.8626,2196,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1.02,1191.36,2196,1.02,1,1,-1.22136e-05,0,0,4,repair,0,0,0,0,0,0,budget_driven,0.3,0.05,1,0.72,0,0,0,0,0,2196,1,1,rejected,repair,0,0,2196,0,0,interior_quality_recovery,0,0,global_error_increased,0.181799,0.366578,0.673474,0.960869,0.999425,0.66668,0.187684,1.63934,60.6557,28.7796,0.499362,0.513946,29.9617,16.6307,93.9088,124.461,0.616159,0.806682,0.883122,0.981438,0.999364,0.886062,0.0568557,0,100,96.357,0.0101864,0.0705509,0.40596,0.0585808,3386,220,18,7,0.5
